iter	Logloss
0	0.652395648
1	0.6206315023
2	0.5947637217
3	0.5701648811
4	0.5463933503
5	0.5274168314
6	0.5023352423
7	0.4875881075
8	0.4720449747
9	0.4624471425
10	0.4476370671
11	0.4313728593
12	0.4194600642
13	0.4039431915
14	0.3927345313
15	0.38302343
16	0.3719072436
17	0.3599511346
18	0.3510715868
19	0.3431332971
20	0.3365730629
21	0.3266280096
22	0.3193186998
23	0.3139362204
24	0.3056321745
25	0.2999930779
26	0.2918342811
27	0.2871548951
28	0.2802000863
29	0.2750840537
30	0.2661132721
31	0.2616850164
32	0.25781637
33	0.2536898005
34	0.2489886519
35	0.2458205898
36	0.2410143544
37	0.2360683731
38	0.2331807777
39	0.2289941378
40	0.2256023067
41	0.2240647643
42	0.2206482089
43	0.2177180884
44	0.2144149468
45	0.2095766955
46	0.206006102
47	0.2015916827
48	0.1988988376
49	0.19518682
50	0.1928365397
51	0.1900612141
52	0.1862125966
53	0.185054712
54	0.1813921784
55	0.1794945054
56	0.1772853536
57	0.1735134259
58	0.1708872394
59	0.1683498419
60	0.1663410935
61	0.1652472786
62	0.1625978513
63	0.1607462266
64	0.1584647594
65	0.1572887563
66	0.1555563074
67	0.1533831212
68	0.1504676892
69	0.148987886
70	0.1474091947
71	0.1461474457
72	0.1422128604
73	0.1415471493
74	0.1406376935
75	0.1395172777
76	0.1383594401
77	0.1369915523
78	0.1359186885
79	0.1343281249
80	0.1329637331
81	0.1320358053
82	0.1304106891
83	0.1295381878
84	0.1274167462
85	0.1257677749
86	0.1251825263
87	0.1224664668
88	0.1217229063
89	0.1205191522
90	0.1195516577
91	0.1185578231
92	0.1175886466
93	0.1166779183
94	0.1150304228
95	0.1129489232
96	0.1108230625
97	0.1102173789
98	0.1091156991
99	0.1078151413
100	0.1070558507
101	0.1057742608
102	0.1044573222
103	0.103038424
104	0.1021077502
105	0.0999543922
106	0.09896755812
107	0.09771424594
108	0.09682003953
109	0.09560510569
110	0.09511039571
111	0.09402440993
112	0.09359438367
113	0.09209125593
114	0.09100942146
115	0.09043606833
116	0.08993077765
117	0.0884162669
118	0.08652160161
119	0.08593305494
120	0.08530020793
121	0.08460297083
122	0.08303625938
123	0.08241106172
124	0.08209793912
125	0.08120532817
126	0.07997624118
127	0.07972623992
128	0.07915378882
129	0.07810366262
130	0.07796062885
131	0.07728792176
132	0.07668829062
133	0.07572202007
134	0.0743624795
135	0.07401391286
136	0.07288455882
137	0.07121539826
138	0.07080834122
139	0.06955914361
140	0.06891014352
141	0.06814258013
142	0.0675300331
143	0.06603425462
144	0.06486924095
145	0.0640785058
146	0.06332665877
147	0.06241341601
148	0.06222495583
149	0.0615928092
150	0.06041307964
151	0.05989596877
152	0.05953936014
153	0.05877542772
154	0.05807594859
155	0.05725461966
156	0.05708292864
157	0.05673931674
158	0.05571787739
159	0.05454500506
160	0.05380574673
161	0.05301344297
162	0.05276166566
163	0.05219249261
164	0.05188318654
165	0.05112314491
166	0.0510039904
167	0.05088839963
168	0.05010751173
169	0.0492466599
170	0.04870863012
171	0.04857372569
172	0.04796643338
173	0.04786797507
174	0.04725619179
175	0.04694989766
176	0.04635913641
177	0.045594067
178	0.0450536144
179	0.04445739569
180	0.04375291132
181	0.0431372567
182	0.04265003759
183	0.0423180369
184	0.04152797242
185	0.04094214537
186	0.04042793049
187	0.04029688899
188	0.03991949314
189	0.03940568978
190	0.03925161203
191	0.03900673208
192	0.03834980643
193	0.03772999167
194	0.03736369346
195	0.03663710825
196	0.03609362764
197	0.03556693549
198	0.03536194977
199	0.03501458103
200	0.0346395139
201	0.03455445377
202	0.03417822597
203	0.03397342547
204	0.03391435198
205	0.03343232812
206	0.03296465235
207	0.03260184997
208	0.03225932233
209	0.03193531019
210	0.03156694111
211	0.03120209362
212	0.03088731771
213	0.03048141121
214	0.03034112663
215	0.03005454926
216	0.02946885555
217	0.02899527593
218	0.02894969694
219	0.02890530837
220	0.02864731592
221	0.02834430934
222	0.02816294151
223	0.02787257962
224	0.02760778424
225	0.02733482981
226	0.02694772313
227	0.02658321765
228	0.02654317908
229	0.02641345006
230	0.02617080579
231	0.02591500262
232	0.0255686954
233	0.02523405632
234	0.02519780964
235	0.02485139189
236	0.02481605498
237	0.02459163182
238	0.02444896619
239	0.02437273029
240	0.02434331239
241	0.02416354277
242	0.02403650238
243	0.02381657512
244	0.0236220617
245	0.02326822478
246	0.02323099151
247	0.02319825265
248	0.02316588828
249	0.02298110454
250	0.02264266133
251	0.02255589642
252	0.02252685733
253	0.02234770316
254	0.02211516753
255	0.02184749022
256	0.02164702044
257	0.02161999315
258	0.02149121623
259	0.02128617902
260	0.02122320625
261	0.02111175812
262	0.02095012157
263	0.02082237452
264	0.02066609334
265	0.02051141036
266	0.02043683054
267	0.0201395288
268	0.02006982261
269	0.01986611968
270	0.01970238703
271	0.01966859145
272	0.01952025477
273	0.01948737041
274	0.01946071631
275	0.01923098217
276	0.01920103382
277	0.01917766597
278	0.01897896419
279	0.01881895093
280	0.01879467049
281	0.01877279204
282	0.01873622164
283	0.01849209305
284	0.01845979847
285	0.01833381792
286	0.01824144789
287	0.01798579512
288	0.01785626612
289	0.0177315713
290	0.01766004299
291	0.01753930869
292	0.01745148042
293	0.01729610232
294	0.01718224343
295	0.01702481047
296	0.01688158675
297	0.01668412807
298	0.01658278365
299	0.01641785669
